rating,name
9.4,十二怒汉
9.1,星际穿越
8.9,怦然心动
9.1,指环王3：王者无敌
9.0,少年派的奇幻漂流
9.0,天空之城
9.2,鬼子来了
9.0,蝙蝠侠：黑暗骑士
8.9,罗马假日
9.1,活着
8.9,大话西游之月光宝盒
9.0,两杆大烟枪
8.9,飞屋环游记
9.1,窃听风暴
9.0,飞越疯人院
9.3,海豚湾
8.9,闻香识女人
8.8,V字仇杀队
8.9,哈尔的移动城堡
9.6,控方证人
9.1,教父2
8.9,美丽心灵
8.9,指环王2：双塔奇兵
8.9,死亡诗社
8.9,指环王1：魔戒再现
8.8,春光乍泄
8.7,让子弹飞
8.7,心灵捕手
9.2,大闹天宫
8.8,幽灵公主
8.7,阳光灿烂的日子
8.8,第六感
8.6,重庆森林
8.7,大鱼
8.7,射雕英雄传之东成西就
8.6,禁闭岛
8.7,甜蜜蜜
8.8,阳光姐妹淘
8.9,上帝之城
8.9,一一
8.8,地球上的星星
9.0,爱·回家
8.6,哈利·波特与死亡圣器(下)
8.6,致命ID
9.0,狩猎
8.7,告白
9.6,肖申克的救赎
8.7,碧海蓝天
8.8,未麻的部屋
8.6,爆裂鼓手
8.3,恐怖游轮
8.3,秒速5厘米
8.5,谍影重重2
8.5,阿飞正传
8.8,房间
8.5,血钻
8.6,大卫·戈尔的一生
8.3,国王的演讲
8.6,枪火
8.2,疯狂的石头
8.7,头脑特工队
8.5,花样年华
8.7,7号房的礼物
8.8,二十二
8.8,我是山姆
8.6,人工智能
8.6,海边的曼彻斯特
8.6,阿凡达
8.9,末代皇帝
8.7,布达佩斯大饭店
8.6,加勒比海盗
8.6,断背山
8.7,爱在黎明破晓前
9.5,霸王别姬
9.4,这个杀手不太冷
9.4,阿甘正传
9.5,美丽人生
9.2,千与千寻
8.6,达拉斯买家俱乐部
8.5,谍影重重
8.7,牯岭街少年杀人事件
8.6,海盗电台
8.8,惊魂记
8.4,魔女宅急便
8.5,麦兜故事
8.3,曾经
8.4,暖暖内含光
8.7,千钧一发
8.5,遗愿清单
8.5,荒岛余生
8.7,浪潮
8.7,荒蛮故事
8.4,香水
8.4,冰川时代
8.7,哈利·波特与魔法石
8.8,风之谷
8.7,看不见的客人
8.7,爱在日落黄昏时
8.9,穿条纹睡衣的男孩
9.2,摩登时代
8.7,猫鼠游戏
9.4,辛德勒的名单
9.2,泰坦尼克号
9.2,盗梦空间
8.5,被解救的姜戈
8.5,再次出发之纽约遇见你
9.2,东京物语
8.7,绿里奇迹
8.5,勇闯夺命岛
8.5,贫民窟的百万富翁
8.6,蝴蝶
8.6,巴黎淘气帮
8.9,与狼共舞
8.4,彗星来的那一夜
8.8,情书
8.5,朗读者
8.9,追随
8.6,撞车
8.9,小森林 冬春篇
8.6,时空恋旅人
8.4,唐伯虎点秋香
8.7,罗生门
8.6,心迷宫
8.7,一次别离
8.5,终结者2：审判日
9.0,忠犬八公物语
8.5,这个男人来自地球
8.8,侧耳倾听
8.7,萤火虫之墓
8.7,消失的爱人
8.8,超脱
8.7,驯龙高手
8.7,菊次郎的夏天
8.6,倩女幽魂
9.3,机器人总动员
9.2,海上钢琴师
9.1,三傻大闹宝莱坞
9.2,忠犬八公的故事
8.7,末路狂花
8.4,青蛇
9.1,迁徙的鸟
8.6,荒野生存
8.8,哪吒闹海
8.6,雨人
8.7,燃情岁月
8.6,东邪西毒
8.5,记忆碎片
8.5,月球
8.8,步履不停
9.0,我爱你
8.5,偷拐抢骗
8.7,一个叫欧维的男人决定去死
8.3,夜访吸血鬼
8.8,寿司之神
9.1,辩护人
8.7,天使爱美丽
9.1,美国往事
9.0,饮食男女
9.0,钢琴家
9.2,疯狂动物城
8.9,狮子王
8.6,超能陆战队
8.5,蝙蝠侠：黑暗骑士崛起
8.5,战争之王
8.7,可可西里
8.7,梦之安魂曲
8.4,变脸
8.3,源代码
8.6,燕尾蝶
8.4,新龙门客栈
8.4,英国病人
8.5,黑客帝国3：矩阵革命
8.7,恐怖直播
8.6,幸福终点站
9.0,海洋
8.9,红辣椒
9.2,七武士
8.6,岁月神偷
8.5,神偷奶爸
9.2,放牛班的春天
9.2,大话西游之大圣娶亲
9.2,教父
9.1,龙猫
9.1,楚门的世界
8.6,卡萨布兰卡
8.9,虎口脱险
8.8,喜宴
8.7,疯狂原始人
8.9,小森林 夏秋篇
8.6,怪兽电力公司
8.5,喜剧之王
8.7,七宗罪
8.9,被嫌弃的松子的一生
8.8,致命魔术
9.2,小鞋子
8.8,勇敢的心
8.7,剪刀手爱德华
8.9,音乐之声
8.8,低俗小说
9.1,素媛
9.1,黄金三镖客
8.5,E.T. 外星人
8.4,发条橙
9.2,城市之光
8.4,美国丽人
8.6,叫我第一名
8.4,无耻混蛋
8.3,穆赫兰道
8.7,借东西的小人阿莉埃蒂
8.7,电锯惊魂
8.7,谍影重重3
8.6,杀人回忆
8.5,真爱至上
9.2,乱世佳人
9.1,天堂电影院
9.1,触不可及
8.9,当幸福来敲门
9.2,熔炉
9.0,无间道
9.0,搏击俱乐部
8.8,卢旺达饭店
8.5,黑天鹅
8.5,猜火车
8.6,穿越时空的少女
8.8,魂断蓝桥
8.5,恋恋笔记本
8.9,雨中曲
8.7,本杰明·巴顿奇事
8.8,黑客帝国
8.7,沉默的羔羊
8.8,入殓师
8.9,拯救大兵瑞恩
8.7,西西里的美丽传说
8.6,非常嫌疑犯
8.2,初恋这件小事
8.5,模仿游戏
8.9,勇士
8.6,上帝也疯狂
8.3,蓝色大门
8.4,傲慢与偏见
8.7,教父3
9.0,完美的世界
8.7,纵横四海
8.6,英雄本色
8.7,萤火之森
8.9,玛丽和马克思
8.7,蝴蝶效应
8.8,爱在午夜降临前
8.6,无敌破坏王
8.8,玩具总动员3
